Wall time,Step,Value
1650288301.5271862,283100,33.24948501586914
1650288306.6195412,283600,25.309368133544922
1650288311.6919794,284100,34.70439910888672
1650288316.7713969,284600,27.711380004882812
1650288321.827877,285100,35.43589782714844
1650288326.9112844,285600,33.11695098876953
1650288331.9976845,286100,27.78731346130371
1650288337.053167,286600,31.984844207763672
1650288342.12164,287100,30.767974853515625
1650288352.232581,288100,30.382997512817383
1650288357.3339396,288600,33.00472640991211
1650288362.4083807,289100,24.910953521728516
1650288367.469848,289600,27.36836051940918
1650288372.5732017,290100,32.43159103393555
1650288377.6486316,290600,32.52125549316406
1650288382.7100983,291100,34.290409088134766
1650288387.787523,291600,31.37775993347168
1650288392.845999,292100,26.3548641204834
1650288397.931399,292600,31.73072052001953
1650288403.0118148,293100,30.58280372619629
1650288408.107192,293600,33.554447174072266
1650288413.1905992,294100,33.7152099609375
1650288418.2590466,294600,30.42058563232422
1650288428.4249477,295600,33.72703552246094
1650288433.493395,296100,30.16561508178711
1650288438.571896,296600,32.151676177978516
1650288448.745675,297600,29.06067657470703
1650288453.824096,298100,34.33905029296875
1650288458.908501,298600,26.668886184692383
1650288463.992909,299100,32.60276412963867
1650288469.053376,299600,28.018028259277344
1650288474.1228218,300100,31.67949104309082
1650288479.1952577,300600,26.217742919921875
1650288484.2617111,301100,38.158348083496094
1650288489.3211832,301600,33.44396209716797
1650288494.3846433,302100,36.293800354003906
1650288499.4461107,302600,37.041778564453125
1650288504.526526,303100,31.464757919311523
1650288514.7092998,304100,31.75755500793457
1650288524.8711534,305100,33.56804656982422
1650288529.9814646,305600,30.352487564086914
1650288535.071854,306100,22.609085083007812
1650288550.3300564,307600,31.896669387817383
1650288570.7624228,309600,28.536001205444336
1650288575.878744,310100,32.1276741027832
1650288580.9651442,310600,30.75960350036621
1650288586.0445619,311100,32.65681838989258
1650288591.162876,311600,31.69785499572754
1650288596.3480124,312100,25.186487197875977
1650288601.457351,312600,31.76203727722168
1650288606.5736706,313100,27.33217430114746
1650288621.953548,314600,32.36532211303711
1650288627.043982,315100,35.261619567871094
1650288632.1453996,315600,35.13650894165039
1650288637.2407734,316100,31.98005485534668
1650288647.4276128,317100,32.601112365722656
1650288652.5100236,317600,29.183834075927734
1650288657.6991494,318100,32.41411590576172
1650288667.8938892,319100,27.6575870513916
1650288672.9533725,319600,24.615598678588867
1650288678.047751,320100,30.489086151123047
1650288683.0982556,320600,29.320579528808594
1650288688.1726978,321100,34.957420349121094
1650288693.2790442,321600,32.36555099487305
1650288698.3464954,322100,31.341588973999023
1650288703.3989854,322600,34.97105026245117
1650288708.488378,323100,31.85991096496582
1650288713.617664,323600,30.651592254638672
1650288718.7120435,324100,18.022628784179688
1650288723.808415,324600,27.52535629272461
1650288728.8978064,325100,34.884193420410156
1650288733.9732354,325600,31.279781341552734
1650288739.053652,326100,33.167625427246094
1650288744.1280832,326600,30.851768493652344
1650288759.515941,328100,42.70302200317383
1650288764.5684292,328600,34.46133804321289
1650288769.6298957,329100,36.599021911621094
1650288774.7063332,329600,27.013660430908203
1650288779.7817624,330100,34.355201721191406
1650288784.8771381,330600,35.04867172241211
1650288789.9595575,331100,31.207687377929688
1650288795.0479984,331600,30.565101623535156
1650288800.160329,332100,26.755615234375
1650288805.2397468,332600,24.663368225097656
1650288810.307198,333100,24.713638305664062
1650288815.3985844,333600,28.06711196899414
1650288820.4610484,334100,32.28147506713867
1650288825.5344832,334600,32.13975143432617
1650288835.6973097,335600,29.27814483642578
1650288840.7797487,336100,30.9733829498291
1650288845.8601363,336600,32.09415054321289
1650288850.9405522,337100,31.692712783813477
1650288856.005011,337600,35.10966873168945
1650288861.070466,338100,33.73664093017578
1650288866.144898,338600,26.268980026245117
1650288871.2472548,339100,35.82808303833008
1650288876.3446264,339600,33.57227325439453
1650288881.4380066,340100,34.64579391479492
1650288886.64708,340600,16.269580841064453
1650288891.7414606,341100,30.29220962524414
1650288896.8458092,341600,31.237449645996094
1650288901.9671204,342100,32.08259963989258
1650288907.053515,342600,30.932531356811523
1650288912.196763,343100,35.288272857666016
1650288917.27718,343600,29.449743270874023
1650288922.388513,344100,33.41520690917969
1650288927.4868808,344600,34.304405212402344
1650288932.559318,345100,33.62812423706055
1650288942.7341137,346100,30.37073516845703
1650288952.875995,347100,37.269466400146484
1650288963.0497923,348100,36.243804931640625
1650288978.2720907,349600,29.081058502197266
1650288983.3465471,350100,30.980031967163086
1650288988.4418976,350600,14.088016510009766
1650288993.5183308,351100,32.12602996826172
1650288998.5967526,351600,25.31977081298828
1650289003.69911,352100,32.70529556274414
1650289008.795483,352600,27.30638313293457
1650289013.8998346,353100,23.02080535888672
1650289018.979254,353600,31.425268173217773
1650289024.0746288,354100,32.042572021484375
1650289029.151057,354600,31.43262481689453
1650289034.240448,355100,29.532745361328125
1650289039.312885,355600,29.104631423950195
1650289054.5402036,357100,29.826366424560547
1650289059.6335847,357600,19.597190856933594
1650289064.7110102,358100,22.41538429260254
1650289074.8877983,359100,33.5389518737793
1650289079.959286,359600,28.54210662841797
1650289085.0496762,360100,28.99390411376953
1650289090.1261022,360600,31.637113571166992
1650289095.1995368,361100,33.08158493041992
1650289100.3028915,361600,31.4913387298584
1650289105.3973293,362100,32.71745300292969
1650289110.4767478,362600,33.27543258666992
1650289115.5441985,363100,32.715999603271484
1650289125.7369494,364100,26.65028953552246
1650289130.8263361,364600,32.573577880859375
1650289135.921726,365100,34.233062744140625
1650289140.9991558,365600,32.832523345947266
1650289146.0905416,366100,24.216659545898438
1650289156.2404418,367100,30.41911506652832
1650289161.3378131,367600,31.824785232543945
1650289166.4411676,368100,30.783891677856445
1650289171.5106122,368600,30.679794311523438
1650289176.5820525,369100,30.25365447998047
1650289181.6654606,369600,30.82166862487793
